ME,NH,VT,WCMA,SEMA,NEMA,CT,RI
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
7323.542282258065,2628.4930120967742,2391.5028266129034,374.63188709677416,0.0,333.4306975806452,863.1629596774193,9.555649193548389
8485.904433333335,3073.564975,3018.122929166667,1222.8079041666667,0.0,482.822825,1033.8200416666666,10.3698875
8485.904433333335,3073.564975,3018.122929166667,1222.8079041666667,0.0,482.822825,1033.8200416666666,10.3698875
8485.904433333335,3073.564975,3018.122929166667,1222.8079041666667,0.0,482.822825,1033.8200416666666,10.3698875
8485.904433333335,3073.564975,3018.122929166667,1222.8079041666667,0.0,482.822825,1033.8200416666666,10.3698875
8485.904433333335,3073.564975,3018.122929166667,1222.8079041666667,0.0,482.822825,1033.8200416666666,10.3698875
