NB_imports_ME,HQ_imports_VT,NY_imports_CT,NY_imports_WCMA,NY_imports_VT
7039,34072,6306.666666666667,1576.6666666666667,6306.666666666667
7730,36637,4980.0888888888885,1245.0222222222221,4980.0888888888885
6190,37857,2794.8444444444444,698.7111111111111,2794.8444444444444
4990,38381,2302.9777777777776,575.7444444444444,2302.9777777777776
1619,38522,3061.644444444444,765.411111111111,3061.644444444444
3218,40231,3744.0444444444456,936.0111111111114,3744.0444444444456
3059,38404,1221.8666666666663,305.4666666666666,1221.8666666666663
3206,37493,3386.0444444444443,846.5111111111111,3386.0444444444443
3811,33372,4832.622222222222,1208.1555555555556,4832.622222222222
2235,28839,0.0,0.0,0.0
5028,36510,5238.666666666667,1309.6666666666667,5238.666666666667
362,35463,6495.511111111111,1623.8777777777777,6495.511111111111
3061,18162,9247.955555555556,2311.988888888889,9247.955555555556
2763,544,10616.844444444441,2654.2111111111103,10616.844444444441
4912,2142,10255.022222222222,2563.7555555555555,10255.022222222222
5206,26780,7668.666666666667,1917.1666666666667,7668.666666666667
